rank,police_station,violation_total,avg_severity,avg_congestion,habitual_count,heavy_veh_count,violation_total_norm,avg_severity_norm,avg_congestion_norm,priority_score
1,Upparpet,18791,3.022617210366665,36.338424777819164,172,802,0.9999999999999467,0.04703955010138033,0.8315343043266811,0.6636
2,Whitefield,886,3.4808126410835216,37.01569977426636,0,62,0.047048805151948106,0.9999999979201878,0.8829290462276698,0.5837
3,Chikkajala,2706,3.33739837398374,38.27811160384331,0,42,0.1439139922294883,0.7017252552297296,0.9787266624016203,0.5617
4,Mahadevapura,2828,3.4002828854314004,36.16415487977369,0,170,0.15040715312149924,0.8325132294709248,0.8183099028972138,0.5554
5,HAL Old Airport,9284,3.274450667815597,32.2420863851788,38,336,0.4940124540954551,0.5708058478377577,0.5206853057171825,0.5251
6,Shivajinagar,12375,3.0256969696969698,34.73037898989899,116,171,0.6585236042364863,0.05344487113653299,0.7095083936276834,0.4923
7,City Market,7505,3.0451698867421717,33.880323784143904,1,686,0.39932939485867264,0.09394488162049049,0.6450022947305559,0.3814
8,Yeshwanthpura,1363,3.2267057960381513,34.03434336023477,0,139,0.07243599978710562,0.4715054809203008,0.6566900085874294,0.3674
9,Kengeri,307,3.257328990228013,34.152605863192186,0,25,0.016232902230027345,0.5351959738681594,0.6656643112679435,0.3668
10,No Police Station,129,3.0930232558139537,38.5584496124031,0,53,0.006759274043322861,0.19347090253461896,0.9999999999241154,0.3607
11,Madiwala,637,3.208791208791209,34.572715855573,0,81,0.03379637021661431,0.4342465037658888,0.697544189813145,0.3531
12,Jeevanbheemanagar,4307,3.185279777107035,31.64309496169027,0,89,0.22912342327956628,0.3853471412568439,0.4752310814027034,0.3498
13,Chamarajpet,1523,3.202232435981615,33.678962573867366,0,224,0.08095162062908717,0.42060548804472897,0.6297220799207357,0.3475
14,Malleshwaram,10624,3.0093185240963853,30.1160984563253,39,141,0.5653307786470506,0.01938078012259633,0.35935556305546273,0.3398
15,Byatarayanapura,1888,3.2383474576271185,31.754878177966102,0,203,0.1003778806748576,0.49571795074746666,0.4837137060079168,0.334
16,Hennuru,399,3.2681704260651627,32.18568922305764,0,19,0.021129384214166737,0.5577441244121427,0.5164056296529989,0.3307
17,Mico Layout,1671,3.263913824057451,30.611633752244167,0,65,0.08882856990792012,0.5488911916163937,0.3969590605567408,0.3193
18,K.G. Halli,357,3.1064425770308124,35.77271708683474,0,103,0.01889403374314658,0.22138057054731586,0.7886058027253148,0.3106
19,Banaswadi,1674,3.208482676224612,31.48940262843489,0,91,0.08898823779870728,0.43360481396908973,0.46356820023736134,0.3047
20,Electronic City,1337,3.2041884816753927,31.593238593866865,0,179,0.07105221140028362,0.4246736957468004,0.4714477508946437,0.2973
21,K.R. Pura,2459,3.165107767385116,31.021211874745834,0,162,0.1307680025546793,0.34339314929334785,0.4280397323734892,0.2837
